phi_0,dV_ges,Sep. Eff.,Vol_imbalance [%],status
0.0002,250,0.9021730244271405,0.0,success
0.00025,250,0.9507493189492139,0.0,success
0.0003,250,0.9702149390539991,0.0,success
0.00035,250,0.979894264073753,0.0,success
0.0004,250,0.9856677990857491,0.0,success
0.00045,250,0.989661793734692,0.0,success
0.0005,250,0.9929504675903994,0.0,success
0.00055,250,0.9950920027627579,0.0,success
0.0006,250,0.9968565251870309,0.0,success
0.00065,250,0.9978853588345078,0.0,success
0.0007,250,0.9986421969896174,0.0,success
0.00075,250,0.99914222076909,0.0,success
0.0008,250,0.9994132323804139,0.0,success
0.00085,250,0.9996293871289128,0.0,success
0.0009,250,0.9997471279982136,0.0,success
0.00095,250,0.9998337140364056,0.0,success
0.001,250,0.99988153801856,0.0,success
0.0002,500,0.9068885851980445,0.0,success
0.00025,500,0.9522439316321948,0.0,success
0.0003,500,0.9709337868416754,0.0,success
0.00035,500,0.9798057526532297,0.0,success
0.0004,500,0.9854148872522032,0.0,success
0.00045,500,0.9896541330223272,0.0,success
0.0005,500,0.9926589082675195,0.0,success
0.00055,500,0.9950270018377403,0.0,success
0.0006,500,0.9966660633727891,0.0,success
0.00065,500,0.9978374963592133,0.0,success
0.0007,500,0.9986062257091658,0.0,success
0.00075,500,0.9990708195878829,0.0,success
0.0008,500,0.999393435139248,0.0,success
0.00085,500,0.9996158904656811,0.0,success
0.0009,500,0.9997370758308155,0.0,success
0.00095,500,0.9998266711647367,0.0,success
0.001,500,0.9998837062267323,0.0,success
0.0002,750,0.8659002505550246,0.0,success
0.00025,750,0.9475577515281761,0.0,success
0.0003,750,0.970481402356895,0.0,success
0.00035,750,0.9798158642744144,0.0,success
0.0004,750,0.9849943852611683,0.0,success
0.00045,750,0.9892543235458491,0.0,success
0.0005,750,0.9923015773535966,0.0,success
0.00055,750,0.9949345655123889,0.0,success
0.0006,750,0.9965892172017834,0.0,success
0.00065,750,0.9977791361326965,0.0,success
0.0007,750,0.9985635800395644,0.0,success
0.00075,750,0.9990389809646032,0.0,success
0.0008,750,0.9993706975642062,0.0,success
0.00085,750,0.9996004796575986,0.0,success
0.0009,750,0.9997256804954876,0.0,success
0.00095,750,0.9998187143632342,0.0,success
0.001,750,0.99987807313738,0.0,success
0.0002,1000,0.7823280443590555,0.0,success
0.00025,1000,0.9065902197704446,0.0,success
0.0003,1000,0.9604807280373886,0.0,success
0.00035,1000,0.9788703419885314,0.0,success
0.0004,1000,0.9847606305384803,0.0,success
0.00045,1000,0.9887345041601047,0.0,success
0.0005,1000,0.9921374372347737,0.0,success
0.00055,1000,0.9946071955891426,0.0,success
0.0006,1000,0.9964916467086071,0.0,success
0.00065,1000,0.9977078739770305,0.0,success
0.0007,1000,0.9985127545178206,0.0,success
0.00075,1000,0.999001731377439,0.0,success
0.0008,1000,0.9993443866273435,0.0,success
0.00085,1000,0.9995827499871971,0.0,success
0.0009,1000,0.9997126654421306,0.0,success
0.00095,1000,0.9998096589079559,0.0,success
0.001,1000,0.9998716809019954,0.0,success
0.0002,1250,0.7028875199683718,1.5612511283791264e-14,success
0.00025,1250,0.8527743045652412,1.5612511283791264e-14,success
0.0003,1250,0.9340267278477657,1.5612511283791264e-14,success
0.00035,1250,0.969692805387608,1.5612511283791264e-14,success
0.0004,1250,0.9835866643171299,1.5612511283791264e-14,success
0.00045,1250,0.9884254597401316,1.5612511283791264e-14,success
0.0005,1250,0.9916282890000196,1.5612511283791264e-14,success
0.00055,1250,0.9944362572873362,1.5612511283791264e-14,success
0.0006,1250,0.9963702711122095,1.5612511283791264e-14,success
0.00065,1250,0.9976217155650158,1.5612511283791264e-14,success
0.0007,1250,0.998452457946741,1.5612511283791264e-14,success
0.00075,1250,0.9989582111584939,1.5612511283791264e-14,success
0.0008,1250,0.9993503715047344,1.5612511283791264e-14,success
0.00085,1250,0.999562334267839,1.5612511283791264e-14,success
0.0009,1250,0.9996977605833772,1.5612511283791264e-14,success
0.00095,1250,0.9997993352578906,1.5612511283791264e-14,success
0.001,1250,0.9998644027627562,1.5612511283791264e-14,success
0.0002,1500,0.6354922864449026,0.0,success
0.00025,1500,0.7964692102704749,0.0,success
0.0003,1500,0.8997533117878659,0.0,success
0.00035,1500,0.952508557944636,0.0,success
0.0004,1500,0.9768140405293049,0.0,success
0.00045,1500,0.9872207098241945,0.0,success
0.0005,1500,0.9913134969629385,0.0,success
0.00055,1500,0.9942223103622558,0.0,success
0.0006,1500,0.9960603350736809,0.0,success
0.00065,1500,0.9975189388127709,0.0,success
0.0007,1500,0.9983815417671821,0.0,success
0.00075,1500,0.9989076208299432,0.0,success
0.0008,1500,0.9993172601555955,0.0,success
0.00085,1500,0.9995388801443313,0.0,success
0.0009,1500,0.9996994010533146,0.0,success
0.00095,1500,0.9997875565424297,0.0,success
0.001,1500,0.9998561570450609,0.0,success
0.0002,1750,0.5793168400604676,0.0,success
0.00025,1750,0.7431740009140944,0.0,success
0.0003,1750,0.8612282442934698,0.0,success
0.00035,1750,0.9308521337516752,0.0,success
0.0004,1750,0.9654281348185682,0.0,success
0.00045,1750,0.9823784317707898,0.0,success
0.0005,1750,0.9903625361165016,0.0,success
0.00055,1750,0.9936973910727234,0.0,success
0.0006,1750,0.9958750941948477,0.0,success
0.00065,1750,0.9973978072815533,5.575896887068309e-15,success
0.0007,1750,0.9982989293566679,5.575896887068309e-15,success
0.00075,1750,0.9989074451343063,0.0,success
0.0008,1750,0.9992791703469179,0.0,success
0.00085,1750,0.999511993762938,0.0,success
0.0009,1750,0.9996812004583222,5.575896887068309e-15,success
0.00095,1750,0.9997741365196613,0.0,success
0.001,1750,0.9998467091383184,0.0,success
0.0002,2000,0.5324774395536289,0.0,success
0.00025,2000,0.6945232856628722,0.0,success
0.0003,2000,0.8218991579128772,0.0,success
0.00035,2000,0.9048809328964516,0.0,success
0.0004,2000,0.9514193247424154,0.0,success
0.00045,2000,0.9743372345205921,0.0,success
0.0005,2000,0.986637500251251,0.0,success
0.00055,2000,0.9926985729034903,0.0,success
0.0006,2000,0.9955499599356412,0.0,success
0.00065,2000,0.9972354360660248,0.0,success
0.0007,2000,0.9982003357473829,0.0,success
0.00075,2000,0.9988431894064048,0.0,success
0.0008,2000,0.999235510317335,0.0,success
0.00085,2000,0.9994813865761392,0.0,success
0.0009,2000,0.9996605009039444,0.0,success
0.00095,2000,0.9997736787406939,0.0,success
0.001,2000,0.9998464745300756,0.0,success
